               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099269,            0.030512,                   0,           0.0035086,             0.22353,            0.002148,          0.00045262,            0.077791,            0.025357,                   0,             0.00046,             0.00046,             0.09586
                   1,            0.074262,            0.029595,                   0,             0.23109,             0.44824,             0.19984,            0.071263,            0.045501,            0.026166,                   0,          0.00092485,          0.00092485,            0.091625
                   2,            0.049445,            0.028502,                   0,             0.79248,             0.82588,             0.87036,             0.46188,            0.039565,            0.017907,                   0,           0.0013692,           0.0013692,            0.087369
                   3,            0.049394,            0.020664,                   0,             0.75687,             0.71647,               0.789,             0.41233,            0.040521,            0.015225,                   0,           0.0017783,           0.0017783,            0.083078
                   4,            0.047559,            0.018298,                   0,             0.87497,             0.77391,             0.91057,             0.56781,            0.032724,            0.013378,                   0,           0.0021389,           0.0021389,            0.078739
                   5,            0.044098,            0.016124,                   0,             0.66142,             0.81359,             0.74763,             0.36372,            0.042274,            0.010902,                   0,           0.0024396,           0.0024396,             0.07434
                   6,            0.041237,            0.014245,                   0,             0.72006,             0.87882,             0.86741,             0.47692,            0.035119,           0.0093295,                   0,           0.0026716,           0.0026716,            0.069872
                   7,             0.03835,            0.011768,                   0,              0.8442,             0.89881,             0.92326,             0.52885,            0.028949,           0.0089088,                   0,           0.0028286,           0.0028286,            0.065329
                   8,            0.035236,            0.010922,                   0,              0.8684,             0.90057,             0.93721,             0.53951,            0.031118,           0.0073978,                   0,           0.0029078,           0.0029078,            0.060708
                   9,            0.033376,           0.0097226,                   0,             0.95303,             0.98118,             0.98964,             0.67998,            0.026975,            0.006869,                   0,           0.0029097,           0.0029097,             0.05601
                  10,            0.033913,           0.0091164,                   0,              0.9495,             0.91294,             0.97961,             0.69873,            0.026807,           0.0067314,                   0,            0.002838,            0.002838,            0.051238
                  11,            0.035143,           0.0093513,                   0,             0.98796,             0.96575,             0.99102,             0.68848,            0.025732,           0.0062005,                   0,           0.0027002,           0.0027002,              0.0464
                  12,            0.031976,           0.0085651,                   0,             0.97627,             0.96807,             0.99083,             0.66828,            0.026506,           0.0059406,                   0,           0.0025067,           0.0025067,            0.041507
                  13,            0.029255,           0.0081101,                   0,             0.98821,             0.98824,             0.99211,             0.59694,            0.031792,           0.0056512,                   0,           0.0022713,           0.0022713,            0.036571
                  14,            0.027576,           0.0077847,                   0,             0.98252,             0.99174,             0.99268,             0.75973,            0.020263,            0.005317,                   0,           0.0020099,           0.0020099,             0.03161
                  15,             0.02535,           0.0073806,                   0,              0.9837,             0.99412,             0.99287,             0.79013,            0.020429,           0.0051433,                   0,           0.0017408,           0.0017408,            0.026641
                  16,             0.02252,           0.0071913,                   0,             0.98716,             0.99517,              0.9934,              0.8223,            0.015794,           0.0047585,                   0,           0.0014838,           0.0014838,            0.021684
                  17,            0.021135,           0.0067428,                   0,             0.99059,             0.99058,              0.9928,             0.83289,             0.01614,           0.0047016,                   0,           0.0012594,           0.0012594,            0.016759
                  18,            0.020995,           0.0066279,                   0,              0.9848,             0.99647,             0.99268,             0.82541,            0.016691,           0.0046529,                   0,           0.0010885,           0.0010885,            0.011888
                  19,             0.01941,           0.0066516,                   0,             0.98603,             0.99641,             0.99338,             0.85527,            0.013293,           0.0043883,                   0,          0.00099102,          0.00099102,            0.007091
